2007,5,Sarrià-Sant Gervasi,24,les Tres Torres,15325,215.3
2008,5,Sarrià-Sant Gervasi,24,les Tres Torres,15410,214.7
2009,5,Sarrià-Sant Gervasi,24,les Tres Torres,15832,222.6
2010,5,Sarrià-Sant Gervasi,24,les Tres Torres,15807,225.8
2011,4,Les Corts,21,Pedralbes,11629,246.0
2011,5,Sarrià-Sant Gervasi,24,les Tres Torres,15700,216.4
2012,4,Les Corts,21,Pedralbes,11778,240.7
2012,5,Sarrià-Sant Gervasi,24,les Tres Torres,16008,215.0
2013,4,Les Corts,21,Pedralbes,11784,243.9
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,16087,224.0
2014,4,Les Corts,21,Pedralbes,11670,251.7
2014,5,Sarrià-Sant Gervasi,24,les Tres Torres,16381,217.8
2015,4,Les Corts,21,Pedralbes,11763,250.5
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,16624,214.1
2016,4,Les Corts,21,Pedralbes,11864,242.4
2017,4,Les Corts,21,Pedralbes,12117,248.8
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,16660,215.8
